year,model,displ,cyl,trans,drive,fuel,cert_region,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
2023,ASTON MARTIN DBS,5.2,12,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PASXV05.2AM5,small car,3,14,22,17,3,No,522
2023,ASTON MARTIN DBX 707,4,8,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PASXJ04.0AEX,standard SUV,5,15,20,17,3,No,536
2023,ASTON MARTIN DBX 707,4,8,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PASXJ04.0AEX,standard SUV,5,15,20,17,3,No,536
2023,ASTON MARTIN DBX V8,4,8,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PASXJ04.0AEX,standard SUV,5,14,20,16,3,No,556
2023,ASTON MARTIN DBX V8,4,8,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PASXJ04.0AEX,standard SUV,5,14,20,16,3,No,556
2023,ASTON MARTIN V12 Vantage,5.2,12,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PASXV05.2AM5,small car,3,14,22,16,3,No,548
2023,ASTON MARTIN V12 Vantage,5.2,12,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PASXV05.2AM5,small car,3,14,22,16,3,No,548
2023,ASTON MARTIN Vantage,4,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PASXV04.0AES,small car,5,18,24,20,4,No,435
2023,ASTON MARTIN Vantage,4,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PASXV04.0AES,small car,5,18,24,20,4,No,435
2023,AUDI A3,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PVGAV02.0A3B,small car,7,28,38,32,6,No,276
2023,AUDI A3,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PVGAV02.0A3B,small car,7,28,38,32,6,No,276
2023,AUDI A3,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PVGAV02.0A3B,small car,7,27,35,30,6,No,294
2023,AUDI A3,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PVGAV02.0A3B,small car,7,27,35,30,6,No,294
2023,AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7M,large car,5,19,28,22,5,No,398
2023,AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7M,large car,5,19,28,22,5,No,398
2023,AUDI Q3 S-Line,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PVGAJ02.0A3T,small SUV,7,21,28,24,5,No,375
2023,AUDI Q3 S-Line,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PVGAJ02.0A3T,small SUV,7,21,28,24,5,No,375
2023,AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7M,standard SUV,5,18,22,20,4,No,453
2023,AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7M,standard SUV,5,18,22,20,4,No,453
2023,AUDI Q8,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7M,standard SUV,5,18,23,20,4,No,439
2023,AUDI Q8,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7M,standard SUV,5,18,23,20,4,No,439
2023,AUDI RS 6 Avant,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PVGAJ04.0NAT,station wagon,3,14,21,17,3,No,517
2023,AUDI RS 6 Avant,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PVGAJ04.0NAT,station wagon,3,14,21,17,3,No,517
2023,AUDI RS 7,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PVGAJ04.0NAT,midsize car,3,14,21,17,3,No,517
2023,AUDI RS 7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PVGAJ04.0NAT,midsize car,3,14,21,17,3,No,517
2023,AUDI RS5 Coupe,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7F,small car,5,18,26,21,4,No,429
2023,AUDI RS5 Coupe,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7F,small car,5,18,26,21,4,No,429
2023,AUDI RS5 Sportback,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7F,midsize car,5,18,25,21,4,No,430
2023,AUDI RS5 Sportback,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7F,midsize car,5,18,25,21,4,No,430
2023,AUDI S3,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAV02.0A7N,small car,5,23,32,26,5,No,334
2023,AUDI S3,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAV02.0A7N,small car,5,23,32,26,5,No,334
2023,AUDI S4,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7F,small car,5,21,30,24,5,No,364
2023,AUDI S4,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7F,small car,5,21,30,24,5,No,364
2023,AUDI S5 Cabriolet,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7F,small car,5,21,28,23,5,No,375
2023,AUDI S5 Cabriolet,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7F,small car,5,21,28,23,5,No,375
2023,AUDI S5 Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7F,small car,5,21,30,24,5,No,364
2023,AUDI S5 Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7F,small car,5,21,30,24,5,No,364
2023,AUDI S5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7F,midsize car,5,21,30,24,5,No,364
2023,AUDI S5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7F,midsize car,5,21,30,24,5,No,364
2023,AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7F,small SUV,5,19,24,21,4,No,422
2023,AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7F,small SUV,5,19,24,21,4,No,422
2023,AUDI SQ5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PVGAJ03.0N7F,small SUV,5,19,24,21,4,No,422
2023,AUDI SQ5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PVGAJ03.0N7F,small SUV,5,19,24,21,4,No,422
2023,AUDI SQ7,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PVGAT04.0NAV,standard SUV,3,14,20,17,3,No,532
2023,AUDI SQ7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PVGAT04.0NAV,standard SUV,3,14,20,17,3,No,532
2023,AUDI SQ8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PVGAT04.0NAV,standard SUV,3,14,20,17,3,No,532
2023,AUDI SQ8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PVGAT04.0NAV,standard SUV,3,14,20,17,3,No,532
2023,AUDI TT Coupe,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PVGAJ02.0A3T,small car,7,23,30,25,5,No,347
2023,AUDI TT Coupe,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PVGAJ02.0A3T,small car,7,23,30,25,5,No,347
2023,AUDI TT Roadster,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PVGAJ02.0A3T,small car,7,23,30,25,5,No,347
2023,AUDI TT Roadster,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PVGAJ02.0A3T,small car,7,23,30,25,5,No,347
2023,AUDI TTS Coupe,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PVGAV02.0AAB,small car,3,23,31,26,5,No,337
2023,AUDI TTS Coupe,2,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PVGAV02.0AAB,small car,3,23,31,26,5,No,337
2023,AUDI e-tron S (20in. wheels),NA,NA,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0AZS,standard SUV,10,72,75,73,10,Elite,0
2023,AUDI e-tron S (20in. wheels),NA,NA,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0AZS,standard SUV,10,72,75,73,10,Elite,0
2023,AUDI e-tron S (21/22 in. wheels),NA,NA,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0AZS,standard SUV,10,62,64,63,10,Elite,0
2023,AUDI e-tron S (21/22 in. wheels),NA,NA,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0AZS,standard SUV,10,62,64,63,10,Elite,0
2023,AUDI e-tron S Sportback (20 wheels),NA,NA,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0AZS,standard SUV,10,73,78,75,10,Elite,0
2023,AUDI e-tron S Sportback (20 wheels),NA,NA,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0AZS,standard SUV,10,73,78,75,10,Elite,0
2023,AUDI e-tron S Sportback (21/22 wheel),NA,NA,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0AZS,standard SUV,10,64,66,65,10,Elite,0
2023,AUDI e-tron S Sportback (21/22 wheel),NA,NA,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0AZS,standard SUV,10,64,66,65,10,Elite,0
2023,AUDI e-tron Sportback quattro,NA,NA,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,0
2023,AUDI e-tron Sportback quattro,NA,NA,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,0
2023,AUDI e-tron quattro,NA,NA,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0AZE,standard SUV,10,78,79,79,10,Elite,0
2023,AUDI e-tron quattro,NA,NA,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0AZE,standard SUV,10,78,79,79,10,Elite,0
2023,BMW 228i Gran Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,24,34,28,6,No,315
2023,BMW 228i Gran Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,24,34,28,6,No,315
2023,BMW 228i xDrive Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,23,33,27,5,No,330
2023,BMW 228i xDrive Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0B4X,small car,7,23,33,27,5,No,330
2023,BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXV02.0M48,small car,3,26,35,29,6,No,300
2023,BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,T3B125,Federal Tier 3 Bin 125,PBMXV02.0M48,small car,3,26,35,29,6,No,300
2023,BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXV02.0M48,small car,3,26,35,29,6,No,300
2023,BMW 230i xDrive Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PBMXV02.0M48,small car,3,24,34,28,6,No,314
2023,BMW 230i xDrive Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,T3B125,Federal Tier 3 Bin 125,PBMXV02.0M48,small car,3,24,34,28,6,No,314
2023,BMW 230i xDrive Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PBMXV02.0M48,small car,3,24,34,28,6,No,314
2023,BMW 330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0H30,small car,7,46,55,50,9,Yes,158
2023,BMW 330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,PBMXJ02.0H30,small car,7,46,55,50,9,Yes,158
2023,BMW 330i,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PBMXJ02.0B4X,small car,7,24,33,27,5,No,322
